TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train
CHEMBL949220,0.9375,0.8333333333333334,0.0,0.0,0.844+/-0.085
CHEMBL955134,0.8125,0.8461538461538461,0.0,0.0,0.911+/-0.053
CHEMBL955136,0.75,0.7,0.0,0.0,0.866+/-0.083
CHEMBL956772,0.875,0.8666666666666668,0.0,0.0,0.91+/-0.043
CHEMBL956777,0.75,0.7941176470588235,0.0,0.0,0.954+/-0.027
CHEMBL956847,0.875,0.875,0.0,0.0,0.923+/-0.068
CHEMBL957277,0.4375,0.4705882352941176,0.0,0.0,0.615+/-0.107
CHEMBL960166,0.0625,0.0714285714285714,0.0,0.0,0.332+/-0.125
CHEMBL961203,0.5,0.5,0.0,0.0,0.78+/-0.117
CHEMBL961554,0.5625,0.5,0.0,0.0,0.717+/-0.177
CHEMBL961555,0.25,0.5,0.0,0.0,0.9+/-0.211
CHEMBL964123,0.9375,0.9591836734693876,0.0,0.0,0.999+/-0.001
CHEMBL968900,0.75,0.7317073170731707,0.0,0.0,0.885+/-0.04
CHEMBL968905,0.8125,0.75,0.0,0.0,0.921+/-0.041
CHEMBL972376,0.3125,0.2727272727272727,0.0,0.0,0.563+/-0.059
CHEMBL972377,0.75,0.7407407407407407,0.0,0.0,0.921+/-0.031
CHEMBL975243,0.5,0.3333333333333333,0.0,0.0,0.667+/-0.294
CHEMBL980716,0.5625,0.5,0.0,0.0,0.9+/-0.211
CHEMBL984606,0.3125,0.3529411764705882,0.0,0.0,0.68+/-0.152
CHEMBL984613,0.3125,0.3243243243243243,0.0,0.0,0.752+/-0.095
CHEMBL989570,0.4375,0.375,0.0,0.0,0.566+/-0.204
CHEMBL992597,0.375,0.4166666666666667,0.0,0.0,0.962+/-0.081
CHEMBL994472,0.8125,0.7142857142857143,0.0,0.0,0.825+/-0.085
CHEMBL995354,0.1875,0.1666666666666666,0.0,0.0,0.783+/-0.284
CHEMBL995355,0.1875,0.1666666666666666,0.0,0.0,0.75+/-0.264
CHEMBL995359,0.0625,0.1666666666666666,0.0,0.0,0.85+/-0.242
CHEMBL995902,0.5,0.4444444444444445,0.0,0.0,0.703+/-0.1
